Original Title (Russian),English Title,Author (Russian & transliteration),Source
"Аттестат зрелости","The Maturity Certificate","Л. Гераскина / L. Geraskina","Geraskuna, L. (1951). Attestat zrelosti: p'esa v 4-h dejstviyah, 8-mi kartinah. 132 p."
"Васек Трубачев и его товарищи","Vasek Trubachev and His Comrades","В. Осеева / V. Oseeva","Pioneer Theater. (1953). №2. 5–26."
"Вперед, отважные!","Onward, brave ones!","А. Зак, И. Кузнецов / A. Zak, I. Kuznetsov","Pioneer Theater. (1953). №2. 124–155."
"Все хорошо, что хорошо кончается","All's Well That Ends Well","Н. Шестаков / N. Shestakov","Pioneer Theater. (1950). №1. 202–208."
"Высота 88","Height 88","В. Зуб / V. Zub","Pioneer Theater. (1953). №2. 111–116."
"Два друга","Two Friends","Н. Носов / N. Nosov","Pioneer Theater. (1953). №2. 27–68."
"Двадцать лет спустя","Twenty Years After","М. Светлов / M. Svetlov","The Collection of multi-act plays. (1954). 69–218."
"Драгоценное зерно","Precious Grain","А. Мусатов / A. Musatov","Pioneer Theater. (1950). №1. 33–57."
"Ее друзья","Her Friends","В. Розов / V. Rozov","Rozov, V. (1951). Ee druz'ya. P'esa V 4 d., 7 kart. Iskusstvo. 104 p."
"Звено отважных","A Link of Brave","А. Глебов / A. Glebov","Pioneer Theater. (1950). №1. 78–84."
"Красный галстук","Red Tie","С. Михалков / S. Mikhalkov","Mikhalkov. (1951). P'esy. Sovetskij pisatel'. 123–172."
"Морской охотник","Sea Hunter","Н. Чуковский / N. Chukovskij","Pioneer Theater. (1946). 53–76."
"Особое задание","Special Assignment","С. Михалков / S. Mikhalkov","Mikhalkov. (1951). P'esy. Sovetskij pisatel'. 173–219."
"Павлик Морозов","Pavlik Morozov","В. Губарев / V. Gubarev","Gubarev, V. (1953). Pavlik Morozov: drama v 4-h d., 7-mi kart. Iskusstvo. 95 p."
"Писатель, воин, друг советских ребят","Writer, warrior, friend of Soviet children","С. Розанов, А. Елагина / S. Rozanov, A. Elagina","Pioneer Theater. (1950). №1. 65–77."
"Письмо в редакцию","Letter to the Editor","В. Любимова / V. Lyubimova","Pioneer Theater. (1953). №2. 69–82."
"Семейный совет","Family Council","С. Колосова / S. Kolosova","Pioneer Theater. (1953). №2. 117–123."
"Снежок","Snowy","В. Любимова / V. Lyubimova","Soviet dramaturgy. (1949). 95–138."
"Суворовцы","Suvorovites","Е. Рысс, И. Моторин / E. Ryss, I. Motorin","Pioneer Theater. (1953). №2. 83–110."
"Суд Линча","Lynching","Ю. Никулин / Yu. Nikulin","Pioneer Theater. (1950). №1. 150–156."
"У лесного озера","By the Forest Lake","Ц. Солодарь / TS. Solodar’","The Collection of multi-act plays. (1953). 141–210."
"Флаги над Краснодоном","Flags over Krasnodon","Г. Граков / G. Grakov","Pioneer Theater. (1950). №1. 60–64."
"Я хочу домой","I Want to Go Home","С. Михалков / S. Mikhalkov","Soviet dramaturgy. (1950). 273–330."
